Street Type,Abbreviation
Abbey,ABBEY
Acres,ACRES
Allée,ALLÉE
Autoroute,AUT
Alley,ALLEY
Avenue,AVE
Bay,BAY
Beach,BEACH
Bend,BEND
Boulevard,BLVD
By-pass,BYPASS
Byway,BYWAY
Campus,CAMPUS
Cape,CAPE
Carré,CAR
Carrefour,CARREF
Centre,CTR
Cercle,CERCLE
Chase,CHASE
Chemin,CH
Circle,CIR
Circuit,CIRCT
Close,CLOSE
Common,COMMON
Concession,CONC 1
Sources,
,
,
Province or Territory,Abbreviation
Alberta,AB
British Columbia,BC
Manitoba,MB
New Brunswick,NB
Newfoundland and Labrador,NL
Northwest 1  Territories,NT
Nova Scotia,NS
Nunavut,NU
Ontario,ON
Prince Edward Island,PE
Quebec,QC
Saskatchewan,SK
Yukon 2,YT
